index,name,summary,genre,subgenre,home,audio,title_and_location,date,event_time,venue
557,Eme Alfonso,"Eme Alfonso, is a Cuban singer-songwriter, uses her roots to combine them with electronic sounds, world percussion and Afro-Cuban legends. The American NPR and the British BBC identified her as “A promise of Latin music.” She won the Cubadisco Award (Cuban Music Awards) with her two albums “Señales” and “Eme”. 
Her third album ""Voy"" has been produced by Alê Siqueira and has been recorded in Cuba and Brazil during 2018. This Album is among the 10 best records of the year chosen by the Cuban press. The song ""Oroko"" is among the 100 best Spotify song of World Music in 2018. The video ""VOY"" won ""BEST DIRECTOR"" AWARDS in 2018. 
She has been part of important projects to promote the cultural diversity of Cuba like “Para Mestizar” sponsored by UNESCO. She is the Artistic Director of Havana World Music international festival, supported by the Cuban Ministry of Culture. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Booking Agent - US, Publishing, Sync/Music Supervisors",World,Fusion,"Havana, CUBA",http://audio.sxsw.com/2019/mp3_by_artist_id/27f2877652e0f112b57da9881571f619718dee84d61dde48c6fe089c6d9c2d34.mp3,Eme Alfonso at Radio Day Stage Austin Convention Center,"Mar 13, 2019",12:00pm-12:40pm,Radio Day Stage Austin Convention Center
558,Emergency Tiara,"Emergency Tiara is the New York based artist you need to get to know. Fronted by Juri, the lead singer, queen, curator and ringleader extraordinaire to the Emergency Tiara kingdom. In Juri’s kingdom, everyone can feel like royalty in an instant - through her unique and intriguing pop sounds, ranging from sultry soul to rampaging swing anthems - taking in everything from French noir to J-Pop in between.
 
Juri was born and raised in Tokyo, Japan. Classically trained in voice and piano, Juri is driven by the power of music to uplift audiences, having developed her love of singing through early performances with the likes of leading performers including: Japanese classical vocalist, Ken Nishikiori, on La Damnation de Faust, conducted by Seiji Ozawa (now musical director of Vienna State Opera).
 
Juri has worked with artists and industry icons such as Tata Vega, Raheem DeVaughn, Bootsy Collins, Dontae Winslow and Valerie Simpson.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,J-Pop,"New York, NY",,Emergency Tiara at Dirty Dog Bar,"Mar 15, 2019",11:35pm-11:55pm,Dirty Dog Bar
559,Emerson Snowe,"Emerson Snowe is the moniker of 24 year old musician and visual artist Jarrod Mahon. He grew up in Townsville, but Brisbane is home.
Started at 17 years old, Emerson Snowe began as an outlet for Jarrod to house recordings, demos and ideas to show to his mates. At the time, Jarrod was, as most teenagers tend to be, a little unsure of himself and of what he wanted Emerson Snowe to be. 
After four years of recording, touring and performing with his band The Creases, two years of giving up alcohol, and countless hours of writing and learning about himself, Jarrod Mahon has been revealing Emerson Snowe gradually to the world through a number of releases.
In the last twelve months Emerson Snowe has toured with King Krule, Ariel Pink, GUM and more along with performing at The Great Escapes First Fifty Launch parties. He was awared BigSound Levi's Prize for 2018 as the stand out performer as judged by delegates at the festival and has garnered excitement through a swag of releases and NME naming him in their top 100 artists for 2019 to look out for!
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Booking Agent - US",Rock,Indie Rock,"Brisbane, AUSTRALIA",,Emerson Snowe at Lucille,"Mar 13, 2019",8:00pm-8:40pm,Lucille
560,Emilia Ali,"Emilia Ali made waves Fall 2016 with her vocal performance on VALNTN's international streaming hit, ""Can't Let Go (feat. Emilia Ali)."" To date, the song has garnered more than 15 million global streams, and sold more than 100,000 downloads and equivalents. It caught the attention of Florida Georgia Line, Dove Cameron, and more after cracking the Spotify Viral chart in 20+ countries.
Shortly afterward, Ali released her Dreamland EP, which debuted at #24 on the iTunes Pop Chart and received praise from NKD Mag, Elevator Mag, and Mr. Suicide Sheep. This led to a distribution deal with Listen For Pleasure/Capitol Records, and the follow up release Dreamland (Extended), which featured Thick Thighs, u don't like me when i'm high, and Bored (feat. NALIYA). 
Most recently Emilia released “flis,” and performed at the 2018 Lollapalooza Festival alongside Bruno Mars, The Weeknd, Travis Scott, and more. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Pop,R & B,"Boston, MA",,Emilia Ali at Las Perlas,"Mar 12, 2019",10:15pm-10:55pm,Las Perlas
561,Emilie Kahn,"Montreal harpist Emilie Kahn is releasing Outro, the lush follow up to 2015’s 10 000 . Formerly known as Emilie & Ogden, Kahn’s latest is a shimmering collection of indie pop teeming with adulthood’s melancholy. Having shed any monikers, Outro is Emilie’s pained exit from youth, an honest accounting at once anthemic and intimate. Produced in collaboration with Warren C. Spicer of Plants and Animals, Outro is a fearless pop record from an artist determined to swing for the fences. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Alternative,"Montreal, QC, CANADA",,Emilie Kahn at Swan Dive,"Mar 15, 2019",9:00pm-9:40pm,Swan Dive
562,Emily C. Browning,"Emily C. Browning (NZL), raised on small town humour and big town music, went from weekday gigs on an island at the bottom of the world, to selling out shows throughout USA after clocking big views online. With just her voice and a semi-hollow, she’ll show you a slice of inherently satisfying jazz and soul, but isn't afraid to say ""pop"" out loud away from home.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Soul,Singer-Songwriter,"Christchurch, NEW ZEALAND",http://audio.sxsw.com/2019/mp3_by_artist_id/78e56db1bf099b5c880da4b8f53bcda7afc726c993b0a5efb4ebf90615adb672.mp3,Emily C. Browning at CU29,"Mar 12, 2019",8:00pm-8:40pm,CU29
563,Emily Fairlight,"Emily Fairlight is a poet and indie-folk songstress from New Zealand. With a rare talent for capturing stories and moods in their very essence, she delivers them with a voice that ranges from the most intimate of whispers to the strongest of wails, delivering beautiful and honest lyrics with heartfelt melodies.
She describes her own music style as introspective alternative folk. Others have compared her sound to Natalie Merchant, P.J. Harvey, Grace Slick (Jefferson Airplane) and Cat Power.
Emily has been composing and performing for over a decade, playing throughout NZ, Australia and the USA. Her third and most recent trip to the USA saw her record her critically acclaimed sophomore album 'Mother Of Gloom' with Doug Walseth of The Cat's Eye Studio in Austin, Texas, featuring Cully Symington (Bright Eyes and Okkervil River) and multi-instrumentalist Kullen Fuchs.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Distribution - US, Distribution - UK/Europe, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, PR/Publicity Agency, Publishing",Folk,Americana,"Wellington, NEW ZEALAND",http://audio.sxsw.com/2019/mp3_by_artist_id/be27d7d791c41ad1e2dd1e63d9a43db0c24266b89eb01a226eec64978a3c8b13.mp3,Emily Fairlight at Stephen F's Bar,"Mar 15, 2019",11:00pm-11:40pm,Stephen F's Bar
564,Emmaculate,No description provided for artist.,Dance,House / Techno,"Chicago, IL",,Emmaculate at Empire Control Room,"Mar 12, 2019",9:30pm-10:30pm,Empire Control Room
565,Emma Elisabeth,"Gritty, naked and vulnerable - Sweden raised, Berlin based artist/songwriter/producer Emma Elisabeth makes guitar driven jangle pop filled with contrast. It's wild yet controlled, contemplative yet loud and elegantly messed up. In 2018 she released the self-produced singles ”Soul Traveller” and ”Into the Blue” and supported bands like Sunflower Bean and L.A. Witch on stage. Warm and piercing vocals float above a sound inspired by country and rock, fuzzy desert sounds and analog synthesizers with a minimalistic touch. Her 6 track EP ”We Gotta Talk” was released in spring 2017, produced by Victor Van Vugt (Nick Cave, PJ Harvey). ""Unfurling with a gentle jangle, the crisp, spring-fresh songwriting can't fail to get under your skin” wrote Clash Magazine.
""Somewhere between The Bangles, Patti Smith and Nots” - according to Cute and Dangerous Magazine.
”Driven and witty, Emma gives us a taste of what Penny Lane from Almost Famous music would sound like.” wrote Indie Berlin and drew parallells to Stevie Nicks. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Booking Agent - Worldwide, Sync/Music Supervisors",Pop,Alternative,"Berlin, GERMANY",http://audio.sxsw.com/2019/mp3_by_artist_id/b33e28664d2d14d64df9ee84100e9db6b16b19b27e695e7fce9d45276922030c.mp3,Emma Elisabeth at Victorian Room at The Driskill,"Mar 16, 2019",12:00am-12:40am,The Driskill
566,Emma Nyra,"Emma Chukwugoziam Obi, also known as Emma Nyra, is a Nigerian-American Afro pop singer that was born and raised in the US. After completing her Bachelor's Degree in Health Care Administration in 2010, she decided that she wanted to move to Nigeria to pursue her dreams of modeling, acting, and most of all, singing. Having lived in the United States, for majority of her life, then moving officially to Nigeria in early 2012, Emma Nyra has mastered the art of infusing Afro beat with a hint of American style in her music that her many fans adore.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Publishing",World,Afro Pop,"Lagos, LA, NIGERIA",http://audio.sxsw.com/2019/mp3_by_artist_id/1305957cf4396955c6ff2578f7e78b644a2ac7a7a48e2db631a589e5d4cabdfd.mp3,Emma Nyra at Highland Lounge,"Mar 15, 2019",None,Highland Lounge
567,Emme,"Formed in 2016 after years of friendship, late night music nerd-out sessions, and pounds upon pounds of pizza, Emme is the indie-electro project of Sowmya Somanath and Walter Nichols. Having come up in both eastern and western classical music traditions, Somanath and Nichols let these distinct backgrounds inform their writing choices, resulting in a unique take on a pop duo.
Symmetry is a constant source of inspiration for Emme. The name is a wink to mathematician and physicist Emmy Noether, whose eponymous 1915 theorem brought natural symmetries and mathematics together in a way no one had yet to do.
Experiencing Emme live can feel like standing inside a gemstone. Reflections flutter, refractions bounce, and transformations weave about in the form of Somanath’s lush vocals and Nichols’s eclectic mix of saxophone, synthesizers, and effects. The resulting songs question pop conventions; they both challenge and reward.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Other Artists to Tour With, Booking Agent - US",Pop,Electronic,"Austin, TX",,Emme at Cheer Up Charlie's,"Mar 11, 2019",8:00pm-8:40pm,Cheer Up Charlie's
568,Empath,"""Empath goes far beyond the sound of birds faintly chirping. They’re a band that writes songs like communing with nature, bringing all their fuzzed and tripped out idiosyncrasies into harmony. Empath began in 2016 when Garrett Koloski, Jem Shanahan, and Catherine Elicson moved into a house in West Philadelphia together, with Randall Coon joining shortly after. Even with the simple vision to shred, there’s a natural sensitivity in the way Empath communicates. Between the contrast of Elicson’s lush, almost delicate vocals, Koloski’s boisterous drumming, and the half-harmonious wash of guitar and Shanahan and Coon’s synths, Empath equips us with a healthy dose of emotional repose.""
- Em Boltz
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Noise,"Philadelphia, PA",http://audio.sxsw.com/2019/mp3_by_artist_id/27b895e75dcfd6026040c27fecdd3aeaf928136e47ce3ba8a96489a8e7fa0273.mp3,Empath at Barracuda,"Mar 13, 2019",11:00pm-11:40pm,Barracuda
569,Ephraim Owens,No description provided for artist.,Jazz,Funk,"Dallas, TX",,Ephraim Owens at Elephant Room,"Mar 16, 2019",1:00am-1:50am,Elephant Room
570,"EQ AUSTIN Showcase featuring Superfonicos, Jackie Venson, Como Las Movies, Abhi The Nomad, Alesia Lani, Vallejo, Harry Edohoukwa, Lesly Reynaga, J Soulja, Melat, Deezie Brown, Tiarra Girls","Produced in partnership with EPS PRESENTS, the EQ AUSTIN showcase will celebrate Austin’s richly diverse music community featuring twelve of the city’s up-and-coming musical artists and bands. 
EQ AUSTIN is a new community based non-profit organization with a mission to stimulate cultural representation in the creative sector. 
EPS PRESENTS (Event Production Services) has been producing family friendly, community oriented festivals in Austin for over 15 years, with such classic events as Pachanga Latino Music Festival, Trail of Lights, Blues on the Green and Austin’s New Year Celebration. 
oneroadaustin.com
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label",Latin Urban,Hip-Hop / Rap,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/60c820ea73fafea49cadba9e7945b0891eb9117c8b218b42ddb012c19ef7aabf.mp3,"EQ AUSTIN Showcase featuring Superfonicos, Jackie Venson, Como Las Movies, Abhi The Nomad, Alesia Lani, Vallejo, Harry Edohoukwa, Lesly Reynaga, J Soulja, Melat, Deezie Brown, Tiarra Girls at Sheraton BackYARD","Mar 13, 2019",7:00pm-11:50pm,Sheraton BackYARD
571,Eric Dingus & TSO,No description provided for artist.,Hip-Hop / Rap,Hip-Hop / Rap,"Austin, TX",,Eric Dingus & TSO at ScratcHouse Backyard,"Mar 16, 2019",12:05am-12:25am,ScratcHouse Backyard
572,Erin Durant,No description provided for artist.,Singer-Songwriter,Indie Rock,"Brooklyn, NY",http://audio.sxsw.com/2019/mp3_by_artist_id/5906aeab5d55d800f9d48ab51916c8d8052c12a7931d7b949d8e5a102679b65a.mp3,Erin Durant at The Townsend,"Mar 15, 2019",11:00pm-11:40pm,The Townsend
573,Erin Rae,"Gifted with a unique ability to fuse musical genres and influences to craft songs that feel fresh and wholly her own, with her new album Putting On Airs (2018, Single Lock Records), Erin Rae has thrown down a direct challenge to the stereotype of what a Southern singer should be. Both lyrically and sonically, she strikes a fiercely independent chord, proudly releasing a deeply personal record that reflects her own upbringing in Tennessee, including the prejudices and injustices that she witnessed as a child that continue to impact her life to this day. According to Rae, ""this album was born out of a need to do some healing work in my personal life, in order to address some fears and patterns of mine to allow my true feelings to come to the surface."" 
Recorded in the dead of winter in an old Franciscan monastery on Wisconsin’s Fox River, the isolated environment created the perfect setting for Rae and her bandmates to track these genre-busting songs, using the chapel and other unique spaces within the cavernous building to explore new sonic boundaries, all while continuing to showcase the hypnotic vocals and song-serving restraint that have become her trademark. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Folk,Singer-Songwriter,"Nashville, TN",http://audio.sxsw.com/2019/mp3_by_artist_id/d6ef514cb9f268a111ecf9aeb2b588db4aa166763418a1f78fee87c2183de7b8.mp3,Erin Rae at Cooper's BBQ,"Mar 15, 2019",10:00pm-10:40pm,Cooper's BBQ
574,Esbie Fonte,"Cult music. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Producer/Studio Engineer, Sync/Music Supervisors",Singer-Songwriter,Indie Pop,"Los Angeles, CA",http://audio.sxsw.com/2019/mp3_by_artist_id/2fb53da328571960525c58289d7b64e5389235a39ff2aa3ce4a33682f457b961.mp3,Esbie Fonte at Cheer Up Charlie's,"Mar 13, 2019",8:30pm-8:55pm,Cheer Up Charlie's
575,Estefi Areas,"Estefi Areas es una cantante, compositora y multi-instrumentista Argentina radicada en México.
A finales de 2015 grabó su primer EP solista Ey! Con 5 canciones de su autoría, producido por Pablo Escallón en Bogotá, Colombia.
Su primer sencillo homónimo Ey! Fue lanzado en Abril de 2016. 
Su música está influenciada por el pop-rock guitarrero de los años 90 y la canción latinoamericana de segunda mitad del siglo 20.
Su carismático show en vivo, lleno de energía e historias de vida, comenzó a sonar a mediados de 2016 en todos los escenarios más representativos de la escena independiente de todo México.
Estefi Areas is an argentinian singer, composer and multi-instrumentalist based in Mexico.
At the end of 2015 he recorded his first solo EP Ey! With 5 songs of its authorship, in Bogotá, Colombia.
His first single with the same name Ey! It was released in April 2016.
His music is influenced by the guitar pop-rock of the 90s and the Latin American song of the second half of the 20th century.
His charismatic live show, full of energy and life stories, began to sound in mid-2016 in all the most representative stages of the independent scene throughout Mexico.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Alternative,"Mexico City, MEXICO",http://audio.sxsw.com/2019/mp3_by_artist_id/d16f5a9ee500b98d4f5544d9079a4acdc7f8e6f46aca60a274aae74d033a15b8.mp3,Estefi Areas at Speakeasy Kabaret,"Mar 13, 2019",11:30pm-12:10am,Speakeasy Kabaret
576,Esther Black,"Crazy, aggressive, dynamic and diverse... Esther Black is an industrial-metal  band created by ErieLoch,  known for his songwriting, studio, remix and video work with bands like Prong, Ministry, Revco, Lords of Acid and Pig and his work with members of bands like Nine Inch Nails, Marilyn Manson, Faith No More, Rob Zombie, The Melvins, KMFDM, Skinny Puppy and many more.
Esther Black mixes a wide variety of electronic and acoustic sounds from many genres to create a frenzied mix that's fresh and new, groove-laden and dynamic and punctuated by Erie's incredibly diverse palate of vocal styles and range. 
The members of Esther Black have worked together for years as part of bands like Luxt, Wiccid and Blownload, and have toured with and/or opened for the likes of Rammstein, System of a Down, Godsmack, Combichrist, Christian Death, Revco, Thrill Kill Kult, Lords of Acid, Hanzel Und Gretyl and many, many more
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide",Metal,Industrial,"Sacramento, CA",,Esther Black at Dirty Dog Bar,"Mar 14, 2019",9:00pm-9:40pm,Dirty Dog Bar
577,Esther Rose,"Esther Rose released her debut album 'This Time Last Night' June, 2017.
The album was recorded live to a 2-track tape machine at Mashed Potato Studios in the Lower 9th ward of New Orleans, Louisiana.
Since it's release, Rose has toured with her album and shared the stage alongside The Punch Brothers, The Deslondes, and Pokey LaFarge.
Rose is featured on Jack White's latest solo album Boarding House Reach on the country-soul duet 'What's Done is Done'.
Rose is inspired by the honest writing and soaring melodies of American greats such as Hank Williams Sr. and Joni Mitchell, and the community of writers and musicians around her New Orleans neighborhood.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management",Americana,Country,"New Orleans, LA",http://audio.sxsw.com/2019/mp3_by_artist_id/91d542dacd7356d73491faba20e6e1edd93ac1a9bebe0cb8315c5f784b7ef7cd.mp3,Esther Rose at Palm Door on Sabine,"Mar 15, 2019",10:00pm-10:40pm,Palm Door on Sabine
578,The Evening Attraction,"The Evening Attraction is a Chicago indie rock band featuring the harmonic structures of 1960s Beach Boys, the psychedelic fuzz of The Monkees and the songwriting approach of a modern rock-and-roll band.
The band made their debut in 2014 with a 10 track LP, Almost Desperate. Over the course of the next three years, Miles Malin, Paul Ansani, Nick Tumminello, Joey Abaroa and Ryan Flynn—affectionately known as TEA—would release 4 singles, including ‘The Kids Don’t Care’, a 45” vinyl release on boutique Dallas label Classic Waxxx Records in the summer of 2016. 2018 saw the release of the band’s second LP, The End, Again, recorded at Chicago’s own Treehouse Records.
Now, the band is back in the studio working towards a full-length record with a 2019 release. The first single “Out on a Trip”—premiered in late October 2018—is produced by Twin Peaks’ Colin Croom and features artwork from Nashville’s Okey Dokey. The second single “Kill for Love,” also produced by Croom, premiered in January and was  released on vinyl 45s in February. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Booking Agent - US, PR/Publicity Agency, Sync/Music Supervisors",Rock,Indie Rock,"Chicago, IL",http://audio.sxsw.com/2019/mp3_by_artist_id/7bfa71e3c884cb9d472b77feab1ac9b11175d328d36c43cddb731b68bb3ef259.mp3,The Evening Attraction at Cooper's BBQ,"Mar 12, 2019",1:00am-1:50am,Cooper's BBQ
579,eX-Girl,"How to describe the 3 girl aural and visual tsunami of eX-Girl?
“eX-Girl are a beautiful example of information overload. Jagged 3 part vocal harmonies, adventurous arrangements, and songs that hook you like the sucker that you are.” – Mike Patton 
Formed in Japan late 1997 despite any previous musical experience, despite this they would release their first album, “Heppoco Pou”, which was produced by Hoppy Kamiyama (touted as the Japanese Eno and now long time colaborator) in Japan back in June 1998. The album was instantly embraced by San Francisco college radio station KUSF where it went into heavy rotation. Tours across the world and internationally released records ensued, Compelling and captivating, eX-Girl can easily be ranked along side musical innovators such as Zappa, B-52’s, Nina Hagen, Devo, and Talking Heads. On stage the band incorporate performance-art aesthetics with wild costumes and intense energy. Enormous rubber wigs, frog-head masks and custom designed flower-power dresses, the band is instantly captivating. They give the audience the feeling they are observing something quite other worldly. And as far as the band is concerned, they are!
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Avant / Experimental,Noise,"Planet Kero Kero, JAPAN",,eX-Girl at Elysium,"Mar 15, 2019",1:00am-1:50am,Elysium
580,Exit 21/Neighborhood CEO,"Inspired by the likes of Michael Jackson, Chris Brown, Usher, Tank, and Boyz II Men, the boys started uploading 15-second covers online—with a twist by “focusing on the best part of each song.” The group’s take on Ginuwine’s “Pony” exploded as a viral phenomenon on Facebook, YouTube, and Instagram just a few years back. Soon, they found themselves performing in Amsterdam and Germany and releasing singles such as the 2017 “Bounce It,” which clocked 231K Spotify streams. Along the way, they fashioned the “Trap-n-B” sound that comes to life on the 2019 single “Here.” Backed by shimmering piano keys, the sparse production clears out space for the boys to seriously flex vocally. With show-stopping range, they flip from high falsetto into the hypnotic hook, “You should be here.” “We were all vibing together on that one,” B-Smoove recalls. “Everybody has thoughts and regrets in the past, but we always push forward. It comes from a heartfelt place of nothing but affection. You’re reminding your girl to remember how you were together and letting her know you’re not going to mess it up. It’s the beginning. We’re getting ready to give the world a lot of songs.”
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",R & B,Hip-Hop / Rap,"long island, NY",,Exit 21/Neighborhood CEO at The Belmont,"Mar 15, 2019",10:15pm-10:30pm,The Belmont
581,Ezra Collective,"Synergy in motion, London five-piece Ezra Collective are proving themselves as a harmonious tour de force. Their sound nods respectfully to a classic jazz footprint, celebrating the originators whilst simultaneously carving a path solely their own. Ezra Collective marry the delicate technicalities of jazz musicianship with afrobeat and hip hop, tied together by a sound that’s unmistakably London. Their live show is one of dynamic union; the strength of their partnership shines in performances that are commanding yet sensitive, soulful and pertinently groove-laced. Boiler Room rightly labelled the group as “pioneering the new-wave of U.K. jazz”. 
As the genre enjoys a new lease of life that is gaining momentum across the country, Ezra Collective are adding their own fresh and imaginative face to a style that continues to be “as entertaining as it is educational” (Trench). 2018 saw them sell out their full UK headline tour, bought continued success for their genre-bending second EP, Juan Pablo: The Philosopher and 2 acclaimed singles including ""Reason in Disguise"" feat. Jorja Smith.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Jazz,African,"London, UK-ENGLAND",http://audio.sxsw.com/2019/mp3_by_artist_id/d5dbc163030c6802fc09719410449f162da0077d0e310f6062e6b40f0e3c3f59.mp3,Ezra Collective at British Music Embassy @ Latitude 30,"Mar 12, 2019",10:00pm-10:40pm,British Music Embassy @ Latitude 30
582,FADE,"FADE is multi-instrumentalist and producer Marley Ferguson, whose music is propelled by vibrant analog synthesizers and the assured delivery of her elysian voice. The sound of FADE is radiant bliss diffused through a prism, spotlighting the colorful yet pensive vision of an artist fully realized.
As in her preceding project, PARTS, Ferguson finds inspiration in the electronic-leaning sounds of our past, drawing on hypnotic oscillations and polyphonic swells to create the dream pop found on her debut, the Fall In Love EP. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Booking Agent - US",Electronic,Dream Pop,"Grand Rapids, MI",http://audio.sxsw.com/2019/mp3_by_artist_id/e29f3666c68b12a130ca325c5dc4a6fefb4b9790b66aaed7298a019cab5c5bf0.mp3,FADE at Las Perlas,"Mar 14, 2019",9:15pm-9:55pm,Las Perlas
583,Faded Ghost,"Faded Ghost is the producer/DJ pseudonym of Shanghai based vocalist ChaCha Yehaiyahan. A broad and exciting project, Faded Ghost has no set rules or style, often resulting in unpredictable and suprising results.
As a producer and live performer, she creates collages of sounds using field recordings as well as self-taught production techniques using various analog and digital hardware, blending together her many influences and ideas into abstract compositions that don’t stick to the usual borders and templates of genre. Her release has been selected in BBC Radio One by Steve Barker.
As a DJ, Faded Ghost plays selections of upfront sounds, from the new strain of Imaginative sounds and experimental dance music, to unreleased tracks from her contemporaries and musical friends she has met along her journey so far. A resident at Shanghai’s Sub-Culture night, also hosting special monthly RBMA Radio show Scenery:Shanghi from China to introduce the sound come out from the country .Faded Ghost stays on the fringe of the quickly evolving musical landscape in China whilst staying cohesive and accessible for the dancefloor.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label",Electronic,Avant / Experimental,"Shanghai, CHINA",http://audio.sxsw.com/2019/mp3_by_artist_id/4ebaf547f1a5facbbb86d392bc69a433909c563a37de3651013bd538107c3f93.mp3,Faded Ghost at The Hideout,"Mar 15, 2019",9:00pm-9:40pm,The Hideout
584,Falz The bahdguy,"Folarin Falana, better known by his stage name Falz is a Nigerian recording artiste, actor, and qualified barrister. With four award-winning albums to his name, he has propelled himself to the top of Africa's elite performers through his incredible work as a musical artist accompanied by his unrivalled command of social media to entertain his vast audience.
The decorated entertainer has established himself as one of Africa's biggest stars having a recieved a host of music & movie awards which include a 2016 BET Viewer's Choice Award for Best International Act as well as two AMVCA for Best Actor in a Comedy/Movie. Falz has also sold out numerous headline shows including a sold-out UK Tour across London o2 Islington London, Manchester, Newcastle, Birmingham and Lagos' premiere venue, The Eko Hotel Convention Centre (with a capacity of 5000).Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,African,"Lagos, NIGERIA",http://audio.sxsw.com/2019/mp3_by_artist_id/187ed9a456c0c986a8f356ddea279b91b6331f852aa18f9ec49ebd8906bf4f6a.mp3,Falz The bahdguy at Highland Lounge,"Mar 15, 2019",None,Highland Lounge
585,Fanclub,"Indie/Dreampop 2 DIE 4 :)
Fanclub is Mike Lee, Leslie Crunkilton, and Daniel Schmidt from Austin, TX. They are fans of lofi, indie, 80s new wave, 90s alternative, synthpop, photobooths, beer, shuffleboard, basketball, antiques, and ramen. Their songs are dazzling, both melancholic yet upbeat. Fanclub gives us a sound that is hopefully nostalgic but also distinctly brand new. With the band confirmed to perform at SXSW 2019 and soon to release their debut EP, Fanclub are definitely one to watch.
 
RIYL Tweepop, Dreampop, C86, Sarah Records, Clairo, Fazerdaze, Yuck, Wild Nothing, Jay Som, Alvvays, The Pains Of Being Pure At Heart, Son Lux, Computer Magic, Tiger Trap, Colleen Green, M83, New Order, St. Vincent, Yo La Tengo, Snail Mail, Kero Kero Bonito
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Rock,Dream Pop,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/9e7edb6426d5b129ff8c1126d4b666ac9f0e48ef9fe6c15118ebdbe49dc67751.mp3,Fanclub at BD Riley's,"Mar 14, 2019",10:00pm-12:40am,BD Riley's
